muin_egin	DIO/ERG/INE
aurrefabrikatu	DA/ABS/
ubeldu	DU/ERG/ABS#DU/ERG/ABL-ABS#DU/ERG/ABS-INE#DU/ERG/ABS-INS
blokatu	DU/ERG/ABS#DA/ABS/#DU/ERG/ABS-INE#DU/ERG/ABS-INS#DIO/ERG/ABS#DU/ERG/ABS-INF#DU/ERG/ABS#DA/ABS/INE#DU/ERG/ABL-ABS#DU/ERG/ABS-INF_INE#DU/ERG/ABS-INE-INF_DAT#DA/ABS/INS#DU/ERG/ABS-SOZ#DA/ABS/#DIO/ERG/ABS-INS#DIO/ERG/ABS-DAT#DIO/ERG/ABS-INE#DIO/ERG/ABS-SOZ#DIO/ERG/ABS
kontserbatu	DA/ABS/#DU/ERG/ABS#DA/ABS/#DA/ABS/INF#DA/ABS/DAT#DU/ERG/ABS-INE#DA/ABS/INS#DU/ERG/ABS#DU/ERG/ABS-INS
askolandu	DU/ERG/
erreusitu	DU/ERG/
mantendu	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS#DU/ERG/ABS-INS#DU/ERG/ABS-SOZ#DU/ERG/ABS-INF#DU/ERG/ABL-ABS#DU/ERG/ABS-ALA#DU/ERG/ABS-PAR#DIO/ERG/ABS-DAT#DU/ERG/ABS-INE#DU/ERG/ABS-ABU#DU/ERG/ABS-INE-SOZ#DU/ERG/ABS-MOT#DU/ERG/ABS-BEREIZ#DU/ERG/ABS-DENB#DU/ERG/ABS-GEN_arabera_ZERO#DU/ERG/ABS-MOD#DU/ERG/ABS-BEREIZ-INE#DU/ERG/ABS-DAT_buruz_ZERO#DU/ERG/ABS-ALA#DIO/ERG/ABS-INE#DIO/ERG/ABS#DU/ERG/ABS-INE-KAUS#DU/ERG/ABS-INS#DU/ERG/ABS-ALA-INS#DU/ERG/ABS-DAT_esker_ABS#DU/ERG/ABS-DENB-INE#DU/ERG/ABS-INF_ABS#DU/ERG/ABS-GEN_aitzin_INE#DU/ERG/ABS-GEN_aurre_INE#DU/ERG/ABS-GEN_berri_ZERO-SOZ#DU/ERG/ABS-GEN_bila_ZERO#DU/ERG/ABS-INE-INF#DU/ERG/ABS-KONP#DU/ERG/ABS-ZERO_bezala_ZERO#DU/ERG/ABS-ZHG#DIO/ERG/ABS-DAT-PAR-SOZ#DU/ERG/ABS-ALA-GEN_uste_INS#DU/ERG/ABS-INE-INS#DIO/ERG/ABS-DAT-INE#DU/ERG/ABL_gora_ZERO-ABS-ALA-INE#DU/ERG/ABL_kanpo_ABS#DU/ERG/ABL_kanpo_ZERO-ABS#DU/ERG/ABS-GEN_oste_INE#DU/ERG/ABS-ALA-GEN_arabera_ZERO#DU/ERG/ABS-BEREIZ-GEN_arabera_ZERO#DU/ERG/ABS-BEREIZ-INE-SOZ#DU/ERG/ABS-BNK-GEN_uste_INS#DU/ERG/ABS-DES#DU/ERG/ABS-GEN_alde_ABS#DU/ERG/ABS-GEN_arabera_ZERO-INE#DU/ERG/ABS-GEN_inguru_INE#DU/ERG/ABS-GEN_omen_INS#DU/ERG/ABS-INE-PAR#DU/ERG/ABS-INE_zehar_ZERO#DU/ERG/ABS-ZERO_arte_ABS#DU/ERG/ABS-ZERO_barru_INE#DU/ERG/ABS-ZERO_gain_INE#DU/ERG/ABS-ZERO_inguru_ZERO#DIO/ERG/ABS#DIO/ERG/ABS-SOZ#DIO/ERG/ABS-INS#DIO/ERG/ABS-DAT#DIO/ERG/ABS-PAR#DIO/ERG/ABL-ABS-DAT#DIO/ERG/ABS-DAT-INE#DIO/ERG/ABS-ALA#DIO/ERG/ABS-MOT#DIO/ERG/ABS-DAT_buruz_ZERO#DIO/ERG/ABS-ABU#DIO/ERG/ABL-ABS#DIO/ERG/ABS-ALA-DAT#DIO/ERG/ABS-ALA-DAT-GEN_uste_INS#DIO/ERG/ABS-BEREIZ-INE#DIO/ERG/ABS-DAT-INE-SOZ#DIO/ERG/ABS-DAT-PAR#DIO/ERG/ABS-INE-INS#DIO/ERG/ABL_gora_ZERO-ABS-ALA-INE#DIO/ERG/ABL_kanpo_ABS#DIO/ERG/ABL_kanpo_ZERO-ABS#DIO/ERG/ABS-ALA#DIO/ERG/ABS-GEN_oste_INE#DIO/ERG/ABS-INE#DIO/ERG/ABS-ALA-GEN_arabera_ZERO#DIO/ERG/ABS-BEREIZ-GEN_arabera_ZERO#DIO/ERG/ABS-BEREIZ-INE-SOZ#DIO/ERG/ABS-BNK-GEN_uste_INS#DIO/ERG/ABS-DES#DIO/ERG/ABS-GEN_alde_ABS#DIO/ERG/ABS-GEN_arabera_ZERO-INE#DIO/ERG/ABS-GEN_inguru_INE#DIO/ERG/ABS-GEN_omen_INS#DIO/ERG/ABS-INE-PAR#DIO/ERG/ABS-INE-SOZ#DIO/ERG/ABS-INE_zehar_ZERO#DIO/ERG/ABS-ZERO_arte_ABS#DIO/ERG/ABS-ZERO_barru_INE#DIO/ERG/ABS-ZERO_gain_INE#DIO/ERG/ABS-ZERO_inguru_ZERO
gatibatu	DU/ERG/ABS#DIO/ERG/ABS#DU/ERG/ABS-ALA#DIO/ERG/ABS-ALA
paseatu	DU/ERG/ABS#DA/ABS/#DA/ABS/INE#DU/ERG/ABS-INE#DU/ERG/ABL-ABS#DA/ABS/SOZ#DU/ERG/ABS-SOZ#DA/ABS/ABL#DA/ABS/INE_zehar_ZERO#DU/ERG/ABL-ABS-GEN_orde_INS-INE-SOZ#DU/ERG/INF_ABS#DA/ABS/ABL-ALA#DA/ABS/ABL-ZERO_alde_ALA#DA/ABS/#DA/ABS/ALA-INE#DA/ABS/GEN_inguru_ABL#DU/ERG/ABL-ABS-ALA#DU/ERG/ABL-ABS-ZERO_alde_ALA#DU/ERG/ABS#DU/ERG/ABS-ALA-INE#DU/ERG/ABS-GEN_inguru_ABL
giltzapetu	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS-ALA#DU/ERG/ABS-GEN_arabera_ZERO-INE#DU/ERG/ABS-INE-INF-MOT#DU/ERG/ABS-INS
aseptizatu	DA/ABS/
herriratu	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS#DU/ERG/ABS-SOZ#DU/ERG/ABS-INS#DU/ERG/ABS-GEN_bide_INS#DU/ERG/ABS-INE#DU/ERG/ABL-ABS#DU/ERG/ABS-ALA#DU/ERG/ABS-GEN_arte_INE-GEN_aurre_INE#DU/ERG/ABL-ABS-INE#DU/ERG/ABS-BEREIZ#DU/ERG/ABS-DAT_buruz_ZERO-INE#DU/ERG/ABS-DES#DU/ERG/ABS-INE-PAR#DU/ERG/ABS-INE-SOZ#DU/ERG/ABS-INS_gain_ABS#DU/ERG/ABS-ZERO_aurre_INE
lanbrotu	ZAIO/ABS/#ZAIO/ABS/
setiatu	DU/ERG/#DU/ERG/ABS-INE#DU/ERG/INE#DU/ERG/INS#DU/ERG/ABL#DU/ERG/ABS
jendeztatu	DU/ERG/ABS-INS
behar_jaso	DU/ERG/#DU/ERG/INE#DU/ERG/ABL_gora_ZERO#DU/ERG/ABS#DU/ERG/MOT
bortxatu	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS#DU/ERG/ABS-INS#DIO/ERG/ABS-DAT#DU/ERG/ABL-ABS#DU/ERG/ABS-INS_gain_ABS#DU/ERG/ABS-INE#DU/ERG/ABS-GEN_aurre_INE#DU/ERG/ABS-SOZ#DIO/ERG/ABS#DU/ERG/ABS-INF_ERG#DU/ERG/ABS-KAUS#DU/ERG/ABS-INF#DU/ERG/ABS-INF_ALA#DU/ERG/ABS-INF_INE#DU/ERG/ABS-INE-KAUS#DU/ERG/ABS_gabe_ZERO-ZHG#DU/ERG/ABS-ALA#DU/ERG/ABS-BEREIZ#DU/ERG/ABS-BEREIZ-GEN_arabera_ZERO#DU/ERG/ABS-GEN_arabera_ZERO#DU/ERG/ABS-INE-INS#DU/ERG/ABS-INE-SOZ#DU/ERG/ABS-INS-MOT#DIO/ERG/ABS-DAT#DIO/ERG/ABS-DAT-INE#DIO/ERG/ABS-INE#DIO/ERG/ABS#DIO/ERG/ABS-DAT-INE#DIO/ERG/ABS-GEN_aurre_INE#DIO/ERG/ABS-INS#DIO/ERG/ABS-SOZ#DIO/ERG/ABS-DAT-INS#DIO/ERG/ABL-ABS#DIO/ERG/ABS-INE#DIO/ERG/ABS-ALA#DIO/ERG/ABS-BEREIZ#DIO/ERG/ABS-BEREIZ-GEN_arabera_ZERO#DIO/ERG/ABS-GEN_arabera_ZERO#DIO/ERG/ABS-INE-INS#DIO/ERG/ABS-INE-SOZ#DIO/ERG/ABS-INS-MOT#DIO/ERG/ABS-INS_gain_ABS
inbertitu	DU/ERG/ABS#DU/ERG/ABS-INE#DA/ABS/INE#DA/ABS/#DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS-ALA#DU/ERG/ABS-INE-INS#DA/ABS/#DA/ABS/ABS-INE#DA/ABS/ALA#DU/ERG/ABS-BEREIZ#DU/ERG/ABS-DES-INE#DU/ERG/ABS-GEN_arabera_ZERO-INE#DU/ERG/ABS-INE-INF#DU/ERG/ABS-SOZ#DA/ABS/INE-KAUS#DU/ERG/ABL-ABS-ALA#DU/ERG/ABS-ALA-INE#DU/ERG/ABS-PAR#DA/ABS/ALA-INE#DU/ERG/ABL-ABS-INE#DU/ERG/ABL-ABS-INE-INS#DU/ERG/ABL_gora_ZERO-ABS#DU/ERG/ABL_gora_ZERO-ABS-GEN_arabera_ZERO#DU/ERG/ABL_gora_ZERO-ABS-INE#DU/ERG/ABL_gora_ZERO-ABS-INE-INF#DU/ERG/ABS-BNK-INE#DU/ERG/ABS-INF-INS#DU/ERG/ABS-GEN_alde_ABL#DU/ERG/ABS-GEN_arabera_ZERO#DU/ERG/ABS-GEN_erdi_ABL#DU/ERG/ABS-INE-INF_MOT#DU/ERG/ABS-INE-MOT#DU/ERG/ABS-INS#DU/ERG/ABS-MOD#DU/ERG/ABS-ERG_arte_ZERO#DU/ERG/ZERO_inguru_ABS#DA/ABS/ABL-ABS-INE#DA/ABS/GEN_bitarte_INS#DA/ABS/INE-INS#DA/ABS/INE-KONP#DA/ABS/INS#DA/ABS/ZERO_inguru_ABS#DA/ABS/PAR#DA/ABS/ABL-ALA
ziurtatu	DU/ERG/#DU/ERG/ABS#DU/ERG/KONP#DU/ERG/INE#DU/ERG/INF#DU/ERG/ABS-INE#DIO/ERG/#DIO/ERG/DAT#DU/ERG/ABS#DU/ERG/ABL#DIO/ERG/ABS#DIO/ERG/ABS-DAT#DU/ERG/SOZ#DU/ERG/INS#DU/ERG/ALA#DU/ERG/ZHG#DIO/ERG/KONP#DU/ERG/MOD#DIO/ERG/DAT-KONP#DU/ERG/ABS-INE#DU/ERG/ABS-SOZ#DU/ERG/ABS-KONP#DU/ERG/GEN_arabera_ZERO#DU/ERG/KAUS#DU/ERG/ABL-ABS#DIO/ERG/DAT-INE#DIO/ERG/INE#DIO/ERG/DAT-INS#DIO/ERG/ABS-DAT-INE#DU/ERG/ABS-INF#DU/ERG/DENB#DU/ERG/DES#DU/ERG/GEN_alde_ABL#DU/ERG/HELB#DU/ERG/INE-KONP#DU/ERG/MOS#DU/ERG/ABS-GEN_bide_INS#DIO/ERG/ABS-INE#DIO/ERG/ABS#DIO/ERG/SOZ#DU/ERG/ABL-ABS-ALA#DU/ERG/ABL-ALA#DU/ERG/ABL-KONP#DU/ERG/ABS-GEN_alde_ABL#DU/ERG/ABS-GEN_aurre_ABL#DU/ERG/ABS-INS#DU/ERG/ALA-BNK#DU/ERG/ALA-INF#DU/ERG/ALA-INE#DU/ERG/ALA-KONP#DU/ERG/BNK-KONP-SOZ#DU/ERG/DAT_esker_ZERO#DU/ERG/INF_ALA#DU/ERG/INF_INE#DU/ERG/GEN_arabera_ZERO-INE#DU/ERG/GEN_aurka_ABS#DU/ERG/GEN_aurre_INE-INF#DU/ERG/GEN_bitarte_INS#DU/ERG/GEN_inguru_INE-INF#DU/ERG/GEN_kontra_ZERO-INE#DU/ERG/GEN_kontu_INE-INF-SOZ#DU/ERG/GEN_oste_INE#DU/ERG/INE-INF#DU/ERG/INE-INS#DU/ERG/INE-KAUS#DU/ERG/INE-ZHG#DU/ERG/NR#DU/ERG/GEN_alde_ERG#DIO/ERG/ABL-DAT-INF#DIO/ERG/ABS-DAT-KONP#DIO/ERG/ALA-INF#DIO/ERG/DAT-INF#DIO/ERG/DAT-GEN_modu_ERG-INE#DIO/ERG/DENB#DIO/ERG/GEN_zain_ZERO#DIO/ERG/MOD#DIO/ERG/NR#DIO/ERG/ZHG#DIO/ERG/ABS-DAT-DES-INS#DIO/ERG/ABS-ALA-DAT#DU/ERG/ABS-GEN_uste_INS#DU/ERG/ABS-INE-ZERO_gisa_ZERO#DU/ERG/GEN_uste_INS#DU/ERG/ABL_behe_ALA#DU/ERG/ABS-PAR_gabe_ZERO#DU/ERG/ABS-ALA#DU/ERG/ABS-BEREIZ-INE#DU/ERG/ABS-GEN_arte_INE#DU/ERG/ABS-GEN_kontra_ZERO#DU/ERG/ABS-PAR#DU/ERG/ABS-PRO#DU/ERG/BEREIZ#DU/ERG/PAR#DIO/ERG/ABS-SOZ#DIO/ERG/ABS-DAT#DIO/ERG/INS#DIO/ERG/ABL-ABS#DIO/ERG/ABS-INE#DIO/ERG/ALA-DAT#DIO/ERG/ABS-DAT-GEN_bide_INS#DIO/ERG/ABS-DAT-GEN_uste_INS
kontrentratu	DA/ABS/
behar_atera	DIO/ERG/ABS#DU/ERG/ABS-INF#DU/ERG/ABL-ABS#DU/ERG/ABS-ALA#DU/ERG/ABS#DIO/ERG/ABL-ABS#DIO/ERG/ABS-ALA
justifikatu	DU/ERG/ABS#DA/ABS/#DU/ERG/ABS-INE#DU/ERG/ABS#DU/ERG/ABS-INF#DU/ERG/ABS-SOZ#DIO/ERG/ABS#DU/ERG/ABS-INS#DU/ERG/ABL-ABS#DU/ERG/ABS-PAR#DA/ABS/INE#DU/ERG/ABS-ALA#DU/ERG/ABS-DES#DA/ABS/#DU/ERG/ABS-INE#DU/ERG/ABS-BEREIZ#DU/ERG/ABS-INF-INS#DU/ERG/ABS-GEN_bide_INS#DA/ABS/INF#DA/ABS/ABS-DENB#DA/ABS/GEN_alde_ZERO#DA/ABS/GEN_bide_INS#DIO/ERG/ABS-DAT-GEN_bide_INS#DIO/ERG/ABS-INF#DIO/ERG/ABS-MOD#DU/ERG/ABS-GEN_aurre_INE#DU/ERG/ABS-GEN_kontra_ZERO#DU/ERG/ABS-GEN_arabera_ZERO-GEN_aurka_ABS#DU/ERG/ABS-GEN_inguru_BNK#DA/ABS/PAR#DA/ABS/ABL#DA/ABS/DES#DA/ABS/INS#DIO/ERG/ABS-DAT#DA/ABS/GEN_arabera_ZERO-GEN_aurka_ABS#DA/ABS/GEN_inguru_BNK#DA/ABS/SOZ#DIO/ERG/ABS-INE#DIO/ERG/ABS#DIO/ERG/ABL-ABS#DIO/ERG/ABS-PAR#DIO/ERG/ABS-DES#DIO/ERG/ABS-INS#DIO/ERG/ABS-DAT-GEN_kontra_ZERO#DIO/ERG/ABS-DAT-INE#DIO/ERG/ABS-GEN_aurre_INE#DIO/ERG/ABS-GEN_arabera_ZERO-GEN_aurka_ABS#DIO/ERG/ABS-GEN_inguru_BNK#DIO/ERG/ABS-SOZ
xahutu	DU/ERG/ABS#DU/ERG/ABS-INE#DA/ABS/#DA/ABS/INE#DU/ERG/ABL-ABS#DU/ERG/ABS-GEN_arte_INE#DU/ERG/ABS-ALA#DIO/ERG/ABS#DU/ERG/ABS-INF#DU/ERG/ABS-BNK-INE-ZERO_bitarte_DESK#DU/ERG/ABS-INF_INE#DU/ERG/ABS-INS#DU/ERG/ABS-SOZ#DA/ABS/GEN_arabera_ZERO#DU/ERG/ABL_gora_ZERO-ABS#DU/ERG/ABS#DU/ERG/ABS-BNK#DU/ERG/ABS-DESK#DA/ABS/ABL#DA/ABS/#DA/ABS/ALA#DA/ABS/BNK#DA/ABS/DESK#DA/ABS/GEN_arte_INE#DIO/ERG/ABS-INE#DIO/ERG/ABL-ABS#DIO/ERG/ABL_gora_ZERO-ABS#DIO/ERG/ABS-ALA-DAT#DIO/ERG/ABS-DAT#DIO/ERG/ABS-DAT-INE#DIO/ERG/ABS#DIO/ERG/ABS-ALA#DIO/ERG/ABS-BNK#DIO/ERG/ABS-DESK#DIO/ERG/ABS-GEN_arte_INE
konbinatu	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS-SOZ#DA/ABS/#DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS-GEN_arabera_ZERO#DU/ERG/ABS-INS-KONP#DA/ABS/INE#DU/ERG/ABS-SOZ#DU/ERG/ABS-ALA#DU/ERG/ABS-GEN_barne_INE#DA/ABS/SOZ#DA/ABS/#DA/ABS/ABS-INE#DA/ABS/ABS-SOZ#DA/ABS/ALA#DA/ABS/GEN_barne_INE
goretsi	DU/ERG/ABS#DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS-ZHG#DU/ERG/ABS-INS#DU/ERG/ABS-MOD#DU/ERG/INS-KONP
xehakatu	DU/ERG/ABS-GEN_uste_INS-SOZ
azpimarrutu	DU/ERG/INF
zatikatu	DA/ABS/#DU/ERG/ABS#DU/ERG/ABS-INE#DA/ABS/INE#DA/ABS/#DA/ABS/SOZ#DA/ABS/ABS-INE#DA/ABS/GEN_arte_INE-INS#DA/ABS/PAR_gabe_ZERO#DU/ERG/ABS-INE#DU/ERG/ABS-GEN_arte_INE-INS#DU/ERG/ABS-PAR_gabe_ZERO
neutralizatu	DA/ABS/#DU/ERG/ABS#DA/ABS/#DA/ABS/INE-INF#DA/ABS/ABL-SOZ#DA/ABS/ABS-INS#DU/ERG/ABL-ABS-SOZ#DU/ERG/ABS-INS
jaso	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS#DU/ERG/ABL-ABS#DU/ERG/ABS-PAR#DU/ERG/ABS-INS#DU/ERG/ABS-INF#DU/ERG/ABS-ALA#DU/ERG/ABS-INE#DU/ERG/ABS-MOT#DU/ERG/ABS-SOZ#DU/ERG/ABL-ABS-INE#DU/ERG/ABS-GEN_alde_ABL#DU/ERG/ABS-INE-INS#DU/ERG/ABS-KAUS#DU/ERG/ABS-GEN_esku_ABL#DU/ERG/ABS-ALA-INE#DU/ERG/ABS-GEN_arabera_ZERO#DU/ERG/ABL-ABS-ALA#DU/ERG/ABS-GEN_bide_INS#DIO/ERG/ABS-DAT#DU/ERG/ABS-GEN_esku_ABL-INE#DU/ERG/ABS-INE-MOT#DU/ERG/ABL-ABS#DU/ERG/ABS-KONP#DU/ERG/ABS-BEREIZ#DU/ERG/ABS-INE-INF#DU/ERG/ABS-DES#DU/ERG/ABS-INE-SOZ#DU/ERG/ABS-ZHG#DU/ERG/ABS-ZERO_inguru_ZERO#DU/ERG/ABS-INE-PAR#DU/ERG/INF_ABS#DU/ERG/KONP#DU/ERG/ABS-INS_gain_ABS#DIO/ERG/ABS#DU/ERG/ABS-GEN_bitarte_INS#DU/ERG/ABL-ABS-INF#DU/ERG/ABS-GEN_esku_ABL#DU/ERG/ABS-DAT_esker_ZERO#DU/ERG/ABS-GEN_arabera_ZERO-INE#DU/ERG/ABS-GEN_alde_ABL-INE#DU/ERG/ABL_aurre_ALA-ABS#DU/ERG/ABS-GEN_berri_ZERO#DU/ERG/ABS-INF#DU/ERG/ABS-BNK#DU/ERG/ABS-INF_NUMS#DU/ERG/ABS-MOT#DU/ERG/ABS-GEN_uste_INS#DU/ERG/ABS-ZERO_gisa_ZERO#DU/ERG/ABS-GEN_aurre_INE#DU/ERG/ABS-GEN_oste_INE#DIO/ERG/ABS-DAT-INE#DU/ERG/ABS-ALA#DU/ERG/ABS-DENB#DU/ERG/ABS-INE-ZHG#DU/ERG/ABL-ABS-INS#DU/ERG/ABS-GEN_truke_ZERO#DU/ERG/ABS-INS#DU/ERG/ABL-ABS-PAR#DU/ERG/ABS-INS-PAR#DU/ERG/ABL_gora_ZERO-ABS#DU/ERG/ABS-GEN_esku_ABL-INE#DU/ERG/ABS-SOZ#DU/ERG/ABS_gabe_ZERO#DU/ERG/ABS-INF_INE#DU/ERG/ABS-INE_zehar_ZERO#DU/ERG/ZERO_inguru_ABS#DU/ERG/ABS-BNK#DU/ERG/ABS-GEN_aurka_ABS-INE#DU/ERG/ABS-GEN_hitz_INE#DU/ERG/ABS-DAT_buruz_ZERO#DU/ERG/ABS-INE-MOT#DU/ERG/ABS-INF_INS#DU/ERG/ABS-MOD#DU/ERG/ABS-MOS#DU/ERG/INS_gain_ABS#DU/ERG/ABL-ABS-INE#DU/ERG/ABS-GEN_arte_INE#DU/ERG/ABS-GEN_ondoren_ZERO#DU/ERG/ABL-ABS-SOZ#DU/ERG/ABS-ALA-INE#DU/ERG/ABS-GEN_aurka_ABS#DU/ERG/ABL-ABS-GEN_bide_INS#DU/ERG/ABS-GEN_arabera_ZERO#DU/ERG/ABS-INE-INF#DU/ERG/ABS-ZHG#DU/ERG/ABS-INF_ALA#DU/ERG/ABS-GEN_arabera_ZERO-INF#DU/ERG/ABS-GEN_buru_INE#DU/ERG/ABS-GEN_esku_ABL-INF#DU/ERG/ABS-INE-INF-INS#DU/ERG/ABS-INE-KONP#DU/ERG/ABS-SOZ-ZHG#DU/ERG/ABS-ZERO_bide_INS#DU/ERG/ABS-ERG_alde_ALA#DU/ERG/ABS-ALA-INE-SOZ#DU/ERG/ABS-GEN_uste_INS-INE#DU/ERG/ABS-PRO#DU/ERG/ABS-GEN_alde_ABL-PAR#DU/ERG/ABS-INE-INS
jaitsi	DA/ABS/#DU/ERG/ABS#DA/ABS/ALA#DA/ABS/INE#DA/ABS/ABL#DA/ABS/#DU/ERG/ABS-ALA#DU/ERG/ABS-INE#DA/ABS/ABL-ALA#DA/ABS/ALA-INE#DU/ERG/ABL-ABS#DA/ABS/INS#DU/ERG/ABL-ABS-ALA#DA/ABS/ABS-INE#DU/ERG/ABS#DA/ABS/ABL-ALA-INE#DA/ABS/ABL-INE#DU/ERG/ABS-INS#DA/ABS/SOZ#DA/ABS/ABU#DU/ERG/ABL-ABS-INE#DA/ABS/PAR#DU/ERG/ABL-ABS-ALA-INE#DA/ABS/ABL#DA/ABS/ABL_behe_ALA#DA/ABS/ALA-INF#DA/ABS/BEREIZ-INE#DA/ABS/GEN_arabera_ZERO-INE#DA/ABS/INE-INF#ZAIO/ABS/#ZAIO/ABS/#DA/ABS/ABS-ALA#DA/ABS/ABU-INE#DU/ERG/ABS-ALA-INE#DU/ERG/ABS-GEN_arabera_ZERO#DIO/ERG/ABS-DAT#DU/ERG/ABS-ABU#DA/ABS/INE_zehar_ZERO#ZAIO/ABS/DAT#DA/ABS/ABL-ALA-INS#DA/ABS/INF#DA/ABS/ALA-BEREIZ-INE#DU/ERG/ABS-INE#DA/ABS/ALA-SOZ#DA/ABS/GEN_arabera_ZERO#DA/ABS/GEN_uste_INS#DIO/ERG/ABS#DU/ERG/ABS-INE-INS#DU/ERG/ABS-PAR#DU/ERG/ABS-SOZ#DU/ERG/ABS-ALA#DA/ABS/ABL-ABS-ALA#DA/ABS/ABS-ABU-INE#DA/ABS/ABU-INS#DA/ABS/ALA-INF_ABL#DA/ABS/ALA-INE-ZHG#DA/ABS/KAUS#DA/ABS/ALA-INF_ABS#DU/ERG/ABS-ALA-GEN_bide_INS#DU/ERG/ABS-ZERO_arte_INE#DU/ERG/ABL-ABS-INS#DU/ERG/ABS-GEN_arabera_ZERO-INE#DA/ABS/ABL-ALA-BEREIZ#DA/ABS/ABS-ALA-INS#DA/ABS/ALA-INE-INS#DA/ABS/ALA-INS#DA/ABS/GEN_alde_INE#DA/ABS/INE-INS#ZAIO/ABS/INE#DU/ERG/ABL_behe_ALA-ABS#DU/ERG/ABS-GEN_uste_INS#DA/ABS/MOT#ZAIO/ABS/ABL-DAT#DIO/ERG/ABL-ABS-DAT#DIO/ERG/ABS-ALA#DU/ERG/ABS-MOT#DU/ERG/ABS-ABU-INE#DU/ERG/ABS-INE-INE_behe_ALA#DIO/ERG/ABL-ABS-ALA-DAT#DA/ABS/ABL-ABL_behe_ALA#DA/ABS/ABL-ABS-ALA-KAUS#DA/ABS/ABL-ABU-MOD#DA/ABS/ABL-ALA-BNK-INE#DA/ABS/ABL-ALA-GEN_alde_INE#DA/ABS/ABL-ALA-GEN_alde_INE-INE#DA/ABS/ABL-ALA-INE-INF_SOZ#DA/ABS/ABL-ALA-KAUS#DA/ABS/ABL-ALA-SOZ#DA/ABS/ABL-ALA_arte_ZERO-INF#DA/ABS/ABL-GEN_buru_INE#DA/ABS/ABL-INE-INF#DA/ABS/ABL-INS#DA/ABS/ABL-KAUS-MOT#DA/ABS/ABL-BEREIZ-INE-KONP#DA/ABS/ABL_at_ZERO#DA/ABS/ABL_aurre_ALA-GEN_arabera_ZERO#DA/ABS/ABL_behe_ALA-ABU#DA/ABS/ABL_behe_ALA-GEN_pare_ALA#DA/ABS/ABL_behe_ALA-INE#DA/ABS/ABL_behe_ALA-SOZ#DA/ABS/INF-INS
ordezkartu	DU/ERG/ABS
xerkatu	DU/ERG/ABS#DU/ERG/ABS-INF#DU/ERG/ABS-INE
prentsatu	DU/ERG/ABS#DU/ERG/ABS-INE
gaitu	DA/ABS/#DU/ERG/ABS#ZAIO/ABS/#DA/ABS/INE#DU/ERG/ABS-BNK#DA/ABS/BNK#DA/ABS/SOZ#DU/ERG/ABS-INE#DU/ERG/ABS-ALA#DU/ERG/ABS-INS#DU/ERG/ABS-GEN_bitarte_INS#DU/ERG/ABS-INE-INS#ZAIO/ABS/INF#ZAIO/ABS/ABS-ALA-DAT-INE#ZAIO/ABS/DAT#ZAIO/ABS/INE#DA/ABS/ABL#DA/ABS/#DA/ABS/ABS-INS#DA/ABS/ALA#DA/ABS/DES#DA/ABS/GEN_arabera_ZERO#DA/ABS/GEN_uste_INS#DA/ABS/INS#DA/ABS/PAR#DU/ERG/ABS-SOZ#ZAIO/ABS/BNK#ZAIO/ABS/SOZ#DU/ERG/ABL-ABS#DU/ERG/ABS#DU/ERG/ABS-INS#DU/ERG/ABS-DES#DU/ERG/ABS-GEN_arabera_ZERO#DU/ERG/ABS-GEN_uste_INS#DU/ERG/ABS-PAR#ZAIO/ABS/ABL#ZAIO/ABS/#ZAIO/ABS/ABS-INS#ZAIO/ABS/ALA#ZAIO/ABS/DES#ZAIO/ABS/GEN_arabera_ZERO#ZAIO/ABS/GEN_uste_INS#ZAIO/ABS/INS#ZAIO/ABS/PAR
arrestatu	DU/ERG/ABS#DA/ABS/#DU/ERG/ABS-INE#DA/ABS/INE#DU/ERG/ABS-DESK#DA/ABS/DESK#DU/ERG/ABS-INF_INE#DU/ERG/ABL-ABS-INE#DU/ERG/ABS-ALA-GEN_erdi_ABL#DU/ERG/ABS-INE-INS#DU/ERG/ABS-MOT#DA/ABS/ABL-INE#DA/ABS/ALA-GEN_erdi_ABL#DA/ABS/INE-INS#DA/ABS/MOT
konplikatu	DA/ABS/#DA/ABS/#DU/ERG/#DU/ERG/INF#DA/ABS/INF#DA/ABS/INF_ABS#DA/ABS/DAT#DA/ABS/#DA/ABS/INE#DA/ABS/PAR#DA/ABS/BEREIZ-GEN_arabera_ZERO#DA/ABS/ZERO_alde_ABL#DU/ERG/ABS#DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS-PAR#DU/ERG/BEREIZ-GEN_arabera_ZERO#DU/ERG/ZERO_alde_ABL
inskribatu	DU/ERG/ABS
maniobratu	DU/ERG/
ametitu	DU/ERG/ABS#DU/ERG/ABS-PAR#DU/ERG/ABS-INE-PAR#DU/ERG/ABS-KAUS#DU/ERG/ABS-PRO
