muin_egin	DIO/ERG/INE
jausi	DA/ABS/#DA/ABS/INE#DA/ABS/ALA#DA/ABS/ABL#DA/ABS/INS#ZAIO/ABS/INE#ZAIO/ABS/#DA/ABS/ABL-ALA#DA/ABS/ABL-INE#DA/ABS/#DA/ABS/SOZ#DA/ABS/ABL-ABS-ALA-INE#DA/ABS/ABL-INS#DA/ABS/ABL_behe_ALA#DA/ABS/ALA-INE#DA/ABS/ALA-INS#DA/ABS/GEN_esku_ABL-INF_INE#DA/ABS/GEN_gain_INE#DA/ABS/INE_behe_ALA#ZAIO/ABS/ABS-#ZAIO/ABS/ALA-#ZAIO/ABS/DAT-INE-INS#ZAIO/ABS/DAT-INS#DA/ABS/ABL-ABS-ABZ#DA/ABS/ABL-ALA-INE#DA/ABS/ABL_gora_ZERO-INE#DA/ABS/ABS_arabera_ZERO-INS#ZAIO/ABS/ABL#ZAIO/ABS/ALA#ZAIO/ABS/INS#ZAIO/ABS/#ZAIO/ABS/SOZ#ZAIO/ABS/ABL-ABS-ABZ#ZAIO/ABS/ABL-ALA#ZAIO/ABS/ABL-ALA-INE#ZAIO/ABS/ABL-INE#ZAIO/ABS/ABL_gora_ZERO-INE#ZAIO/ABS/ABS_arabera_ZERO-INS
jan	DU/ERG/ABS#DU/ERG/ABS-INE#DIO/ERG/ABS#DIO/ERG/ABS-DAT#DU/ERG/ABS#DU/ERG/ABS-INS#DU/ERG/ABL-ABS#DU/ERG/ABS-SOZ#DIO/ERG/ABS-INE#DU/ERG/ABS-ALA#DU/ERG/ABS-INF#DU/ERG/ABS-PAR#DIO/ERG/ABS-DAT-INE#DU/ERG/ABS-INE-INS#DU/ERG/ABS-INE#DIO/ERG/ABS-DAT-INS-ZERO_bila_ZERO#DU/ERG/ABS-INE-PAR#DU/ERG/ABS-GEN_aurre_ABL#DU/ERG/ABS-ALA#DU/ERG/ABS-BNK#DU/ERG/ABS-GEN_arabera_ZERO#DIO/ERG/ABS-DAT#DU/ERG/ABS-INS#DU/ERG/ABS-DENB#DU/ERG/ABS-GEN_barru_INE#DU/ERG/ABS-INE-INF#DU/ERG/ABS-INS_gain_ABS#DU/ERG/ABS-ZHG#DU/ERG/ABS_alde_ABS-INE#DIO/ERG/ABS-ALA-DAT-INE#DIO/ERG/ABS-DAT-ZHG#DIO/ERG/ABS-BEREIZ-INE#DIO/ERG/ABS-DAT-ZHG#DIO/ERG/ABS-DAT#DIO/ERG/ABS-INF#DIO/ERG/ABS-INF_INE#DU/ERG/ABS-GEN_aitzakia_INE-INE#DU/ERG/ABS-GEN_jabe_ABS-INE#DIO/ERG/ABS-INS#DIO/ERG/ABS#DIO/ERG/ABS-SOZ#DU/ERG/ABL-ABS-INE#DU/ERG/ABS-ALA-INE#DU/ERG/ABS-GEN_aurre_ABL#DU/ERG/ABS-INE-ZERO_gisa_ZERO#DU/ERG/ABS-PAR#DU/ERG/ABS_arte_ZERO#DU/ERG/ABS-ALA-INE#DU/ERG/ABS-ALA-INS#DU/ERG/ABS-BEREIZ-DES#DU/ERG/ABS-DAT_buruz_ZERO#DU/ERG/ABS-DES#DU/ERG/ABS-GEN_antz_ALA#DU/ERG/ABS-GEN_arte_INE#DU/ERG/ABS-GEN_aurka_ABS#DU/ERG/ABS-GEN_aurre_INE#DU/ERG/ABS-GEN_bide_INS#DU/ERG/ABS-GEN_bila_ZERO#DU/ERG/ABS-GEN_era_INE#DU/ERG/ABS-GEN_gisa_ZERO-INE#DU/ERG/ABS-GEN_inguru_BNK#DU/ERG/ABS-GEN_modu_INE#DU/ERG/ABS-GEN_ondoren_ZERO-MOT#DU/ERG/ABS-INE-PAR#DU/ERG/ABS-INE-SOZ#DU/ERG/ABS-INE_zehar_ZERO#DU/ERG/ABS-PAR_gabe_ZERO#DU/ERG/ABS-ZERO_inguru_ZERO#DIO/ERG/ABS-ALA#DIO/ERG/ABL-ABS#DIO/ERG/ABS-PAR#DIO/ERG/ABS-INE#DIO/ERG/ABS-INE-INS#DIO/ERG/ABS-GEN_aurre_ABL#DIO/ERG/ABS-ALA#DIO/ERG/ABS-BNK#DIO/ERG/ABS-GEN_arabera_ZERO#DIO/ERG/ABL-ABS-DAT#DIO/ERG/ABS-DAT-INE-PAR#DIO/ERG/ABS-DAT-PAR#DIO/ERG/ABS-GEN_aitzakia_INE-INE#DIO/ERG/ABS-GEN_jabe_ABS-INE#DIO/ERG/ABL-ABS-INE#DIO/ERG/ABS-ALA-INE#DIO/ERG/ABS-GEN_aurre_ABL#DIO/ERG/ABS-INE-PAR#DIO/ERG/ABS-INE-ZERO_gisa_ZERO#DIO/ERG/ABS-PAR#DIO/ERG/ABS_arte_ZERO#DIO/ERG/ABS-ALA-INE#DIO/ERG/ABS-ALA-INS#DIO/ERG/ABS-BEREIZ-DES#DIO/ERG/ABS-DAT_buruz_ZERO#DIO/ERG/ABS-DES#DIO/ERG/ABS-GEN_antz_ALA#DIO/ERG/ABS-GEN_arte_INE#DIO/ERG/ABS-GEN_aurka_ABS#DIO/ERG/ABS-GEN_aurre_INE#DIO/ERG/ABS-GEN_bide_INS#DIO/ERG/ABS-GEN_bila_ZERO#DIO/ERG/ABS-GEN_era_INE
kanonizatu	DA/ABS/INE#DU/ERG/ABS-INE
sareratu	DU/ERG/ABS-ALA-ZERO_gain_ABL#DU/ERG/ABS-INF
ezorekatu	DU/ERG/ABS
suspenditu	DU/ERG/#DU/ERG/INE#DU/ERG/ABS#DA/ABS/INS#DU/ERG/GEN_arabera_ZERO-INE-INS#DU/ERG/MOT#DU/ERG/SOZ#DA/ABS/ABL#DU/ERG/INS#DA/ABS/#DA/ABS/#DA/ABS/INE
klikatu	DU/ERG/ABS#DU/ERG/ABS-SOZ
helbideratu	DA/ABS/INE#DA/ABS/#DA/ABS/
berriztatu	DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS#DU/ERG/ABS-INE#DU/ERG/ABS-ALA#DU/ERG/ABS-ALA-GEN_bide_INS-SOZ#DU/ERG/ABS-INS#DU/ERG/ABS-INS_gain_ABS#DU/ERG/ABL-ABS#DU/ERG/ABS-GEN_alde_BNK#DU/ERG/ABS-GEN_azpi_INE#DU/ERG/ABS-INS-SOZ#DU/ERG/ABS-PAR#DU/ERG/ABS-SOZ#DU/ERG/ABS-ZERO_inguru_ZERO
behar_bete	DU/ERG/ABS#DU/ERG/ABS-DES#DU/ERG/ABS-INE
